Object,Close-Approach (CA) Date,CA Distance Minimum (au),V relative (m/s),Estimated Diameter(meters),Mass(Kg),Force(joules),Megatons(TNT),Damage,Extinction
(2001 WO15),2018,0.00758,11690.0,100,9424777960.77,55087827180700.66,76.24188890629215,Mount Krakatoa comparable,0
(2013 VX4),2018,0.00718,6620.0,62,2246188481.8343925,7434883874871.839,564.9045863641547,Minor extiction event,0
(2015 XX169),2018,0.04348,5770.0,7988,4803804183239242.0,1.3858975068645212e+19,0.0003030527134363748,Large city block,0
(2017 XQ60),2018,0.02155,15620.0,43,749335821.3269402,5852312764563.402,717.6649931342707,Minor extiction event,0
163899 (2003 SD220),2018,0.0189,6240.0,1081,11905515623263.195,3.714520874458117e+16,0.11306976436396272,Entirety of Paris destroyed,0
418849 (2008 WM64),2018,0.04252,17630.0,250,147262155637.03125,1298115901940430.5,3.235458400688118,Entirety of Paris destroyed,0
(2014 AD16),2019,0.032369999999999996,9360.0,7988,4803804183239242.0,2.248180357755965e+19,0.00018681775176579944,Large city block,0
(2016 AZ8),2019,0.02978,9150.0,210,87282868694.69098,399319124278211.25,10.517903462779813,Entirety of Paris destroyed,0
(2013 YM2),2019,0.01596,4280.0,19,64644552.03292143,138339341350.45187,30360.12719881496,Major extinction event,1
(2013 CW32),2019,0.03561,16440.0,140,25861590724.352882,212582275754180.7,19.757056344888632,Entirety of Paris destroyed,0
(2013 RV9),2019,0.045,5880.0,59,1935651472.804982,5690815330046.646,738.0313288018034,Minor extiction event,0
(2017 PV25),2019,0.01821,6090.0,37,477393278.0468828,1453662531652.758,2889.253804474662,Continent exterminated,0
455176 (1999 VF22),2019,0.04917,26480.0,250,147262155637.03125,1949750940634292.8,2.1541212841439403,Entirety of Paris destroyed,0
(2016 CO246),2019,0.040510000000000004,5520.0,21,87282868.69469097,240900717597.3471,17434.568239933928,Major extinction event,1
(2016 FU12),2019,0.03259,5230.0,14,25861590.72435288,67628059744.182785,62104.39891203997,Major extinction event,1
(2015 EG),2019,0.00295,9630.0,24,130288130.52968448,627337348500.4308,6694.962463241763,Major extinction event,1
(2016 GE1),2019,0.00285,10130.0,15,31808625.61759875,161110688753.13766,26069.03385805434,Major extinction event,1
(2014 UR),2019,0.03329,4570.0,15,31808625.61759875,72682709536.21315,57785.407654724375,Major extinction event,1
(2016 GW221),2019,0.02342,5300.0,36,439722440.5376852,1165264467424.8655,3604.3319927892762,Continent exterminated,0
(2012 XO134),2019,0.03787,10950.0,55,1568047433.223109,8585059696896.521,489.2219912598034,Minor extiction event,0
(2016 JP),2019,0.04875,11500.0,200,75398223686.16,433539786195420.0,9.687692188201687,Entirety of Paris destroyed,0
(2017 RC),2019,0.02592,10600.0,6984,3210582391782805.0,1.7016086676448866e+19,0.0002468252589364754,Large city block,0
(2008 HS3),2019,0.037360000000000004,5280.0,150,31808625617.59875,83974771630460.7,50.01502139812319,Mount Krakatoa comparable,0
(2012 KT12),2019,0.00257,3950.0,18,54965305.06721064,108556477507.741,38689.53835297856,Major extinction event,1
(2015 KQ18),2019,0.0263,13070.0,27,185507904.6018359,1212294156572.9976,3464.505687194657,Continent exterminated,0
66391 (1999 KW4),2019,0.03464,21510.0,1997,75059440363113.16,8.07264281105282e+17,0.005202757137042513,Levels half large city,0
(2003 LH),2019,0.03637,7350.0,30,254469004.94079,935173593157.4032,4491.14477860698,Continent exterminated,0
(2011 HP),2019,0.029019999999999997,8420.0,130,20706237179.811687,87173258527007.2,48.17991286512245,Entirety of Paris destroyed,0
(2014 MF18),2019,0.02114,2970.0,21,87282868.69469097,129615060011.61607,32403.64198129135,Major extinction event,1
441987 (2010 NY65),2019,0.01961,12620.0,170,46303934121.263016,292177824305169.6,14.374807567918793,Entirety of Paris destroyed,0
(2008 KV2),2019,0.04548,11370.0,180,54965305067.21064,312477759307092.5,13.440956595801698,Entirety of Paris destroyed,0
(2016 NN15),2019,0.02285,8360.0,14,25861590.72435288,108101449227.79504,38852.3930992786,Major extinction event,1
(2015 XC352),2019,0.03057,4100.0,24,130288130.52968448,267090667585.8532,15724.997200248336,Major extinction event,1
(2016 OF),2019,0.029019999999999997,8470.0,76,4137251330.1069713,17521259383003.025,239.70879650776268,Minor extiction event,0
(2016 NO56),2019,0.0025800000000000003,12200.0,24,130288130.52968448,794757596231.0753,5284.630206640833,Major extinction event,1
(2016 NJ33),2019,0.037689999999999994,4480.0,30,254469004.94079,570010571067.3696,7368.284402402076,Major extinction event,1
(2015 HM10),2019,0.030930000000000006,9500.0,59,1935651472.804982,9194344495823.664,456.80254877416877,Minor extiction event,0
(2010 PK9),2019,0.02107,16490.0,140,25861590724.352882,213228815522289.5,19.697150170404434,Entirety of Paris destroyed,0
(2006 QQ23),2019,0.04977,4670.0,320,308831124218.5114,721120675050224.1,5.824267900386411,Entirety of Paris destroyed,0
454094 (2013 BZ45),2019,0.043519999999999996,8160.0,140,25861590724.352882,105515290155359.77,39.80465763602562,Entirety of Paris destroyed,0
(2016 PD1),2019,0.028380000000000002,5870.0,62,2246188481.8343925,6592563194183.942,637.08149262874,Minor extiction event,0
(2002 JR100),2019,0.04955,8380.0,45,858832891.6751662,3598509816118.947,1167.1497966149138,Continent exterminated,0
(2018 DE1),2019,0.02839,6570.0,26,165649897.43849352,544159913085.4512,7718.319374511626,Major extinction event,1
(2013 CV83),2019,0.01905,13080.0,54,1484063236.8146873,9705773568768.057,432.7321228176048,Minor extiction event,0
504800 (2010 CO1),2019,0.03561,14360.0,150,31808625617.59875,228385931934359.03,18.389924302373984,Entirety of Paris destroyed,0
467317 (2000 QW7),2019,0.03563,6420.0,360,439722440537.6851,1411509034125969.2,2.9755388725518945,Entirety of Paris destroyed,0
(2018 FU1),2019,0.04381,4720.0,14,25861590.72435288,61033354109.4728,68814.83184533242,Major extinction event,1
(2017 SL16),2019,0.01925,6470.0,23,114671273.4486886,370961569606.5076,11321.927509782461,Major extinction event,1
(1998 FF14),2019,0.0278,22260.0,240,130288130529.68448,1450106892795388.2,2.8963382084913825,Entirety of Paris destroyed,0
(2017 KP27),2019,0.005220000000000001,4800.0,23,114671273.4486886,275211056276.85266,15261.014789227607,Major extinction event,1
(2017 TJ4),2019,0.02932,8880.0,30,254469004.94079,1129842381937.1077,3717.3326714821287,Continent exterminated,0
162082 (1998 HL1),2019,0.04155,11210.0,550,1568047433223.1091,8788905863215526.0,0.4778751832555617,Entirety of Paris destroyed,0
(2017 TG5),2019,0.03594,11870.0,32,308831124.21851134,1832912722236.8647,2291.4348015842074,Continent exterminated,0
(2015 JD1),2019,0.033030000000000004,11930.0,250,147262155637.03125,878418758374891.4,4.781318659189568,Entirety of Paris destroyed,0
481394 (2006 SF6),2019,0.028860000000000007,7950.0,340,370431472970.1041,1472465105056164.0,2.8523596148920625,Entirety of Paris destroyed,0
(2008 EA9),2019,0.015619999999999997,2160.0,6990,3218864199550717.0,3.4763733355147745e+18,0.0012081556250281365,Multiple city blocks,0
(2017 AP4),2019,0.020730000000000002,7490.0,14,25861590.72435288,96851657262.70154,43365.28789185168,Major extinction event,1
216258 (2006 WH1),2019,0.03904,11770.0,300,254469004940.79,1497550094076549.2,2.8045806391470944,Entirety of Paris destroyed,0
(2013 XY20),2019,0.04572,1910.0,26,165649897.43849352,158195652053.76132,26549.402246356738,Major extinction event,1
(2017 XQ60),2019,0.02118,15620.0,43,749335821.3269402,5852312764563.402,717.6649931342707,Minor extiction event,0
310442 (2000 CH59),2019,0.04874,12270.0,340,370431472970.1041,2272597086671589.0,1.8481058629496248,Entirety of Paris destroyed,0
